id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; color ; 
0050 ; FtrKatakatatoy ; clackercart ; ておしぐるま ; 學步推車 ; 学步推车 ; 장난감차 ; chariot de marche ; Spielwagen ; carrito carraca ; macchinina primi passi ; loopwagen ; тележка-каталка ; 
0053 ; FtrRockinghorse ; rocking horse ; もくば ; 木馬 ; 木马 ; 목마 ; cheval à bascule ; Schaukelpferd ; caballo balancín ; cavalluccio ; hobbelpaard ; конь-качалка ; 
0055 ; FtrRailroad ; train set ; てつどうもけい ; 鐵道模型 ; 铁道模型 ; 철도 모형 ; train miniature ; Modelleisenbahn ; tren eléctrico ; pista trenino ; treinset ; железная дорога ; 
0056 ; FtrSlideelephant ; elephant slide ; ゾウのすべりだい ; 大象溜滑梯 ; 大象溜滑梯 ; 코끼리 미끄럼틀 ; éléphoboggan ; Elefantenrutsche ; tobogán elefante ; proboscivolo ; olifantglijbaan ; горка-слон ; 
0058 ; FtrQuoits ; ringtoss ; わなげ ; 套圈圈 ; 套圈圈 ; 고리 던지기 ; jeu lancer d'anneaux ; Ringwurfspiel ; juego de lanzar aros ; gioco degli anelli ; ringwerpspel ; игра с кольцами ; 
006D ; FtrBonsaiKokedama ; moss ball ; こけだま ; 青苔球 ; 青苔球 ; 이끼 볼 ; boule de mousse ; Moosgesteck ; bola de musgo ; vaso di muschio ; mosbal ; кокэдама ; 
0083 ; FtrManekineko ; lucky cat ; まねきねこ ; 招財貓 ; 招财猫 ; 복고양이 ; chat fétiche ; Glückskatze ; gato de la suerte ; gatto della fortuna ; gelukskat ; кот удачи ; 
0084 ; FtrPlantSucculents ; succulent plant ; たにくしょくぶつ ; 多肉植物 ; 多肉植物 ; 다육 식물 ; pot de succulentes ; Sukkulente ; aloe pequeño ; pianta grassa ; vetplant ; суккуленты ; 
0090 ; FtrManhole ; manhole cover ; マンホール ; 人孔蓋 ; 人孔盖 ; 맨홀 ; plaque d'égout ; Kanaldeckel ; tapa de cloaca ; tombino ; putdeksel ; крышка люка ; 
0092 ; FtrPylon ; cone ; パイロン ; 三角錐 ; 三角锥 ; 칼라콘 ; cône ; Absperrhütchen ; cono ; cono ; verkeerskegel ; конус ; 
011F ; FtrExercisebike ; exercise bike ; エクササイズバイク ; 健身腳踏車 ; 健身脚踏车 ; 자전거 머신 ; vélo d'appartement ; Fahrradergometer ; bicicleta estática ; cyclette ; hometrainer ; велосипед-тренажер ; 
0122 ; FtrRunningmachine ; treadmill ; ランニングマシン ; 跑步機 ; 跑步机 ; 러닝 머신 ; tapis roulant ; Laufband ; cinta de correr ; tapis roulant ; loopband ; беговая дорожка ; 
014A ; FtrBarbecuegrill ; barbecue ; バーベキューグリル ; 烤肉爐 ; 烤肉炉 ; 바비큐 그릴 ; barbecue ; Grill ; barbacoa ; barbecue ; barbecue ; гриль ; 
014B ; FtrBirdbus ; birdbath ; バードバス ; 小鳥水盆 ; 小鸟水盆 ; 수반 ; bassin à oiseaux ; Vogeltränke ; bañadero para pájaros ; vaschetta per uccelli ; vogelbad ; поилка для птиц ; 
014D ; FtrBirdhouse ; birdhouse ; すばこ ; 鳥巢屋 ; 鸟巢屋 ; 새집 ; abri à oiseau ; Vogelhaus ; casita para pájaros ; casetta per uccelli ; vogelhuis ; скворечник ; 
014F ; FtrFlamingoMale ; Mr. Flamingo ; おすのフラミンゴ ; 雄紅鶴 ; 雄火烈鸟 ; 수컷 플라밍고 ; M. Flamingo ; Mr. Flamingo ; Sr. Flamenco ; fenicottero 1 ; meneer Flamingo ; г-н Фламинго ; 
0150 ; FtrFlamingoFemale ; Mrs. Flamingo ; めすのフラミンゴ ; 雌紅鶴 ; 雌火烈鸟 ; 암컷 플라밍고 ; Mme Flamingo ; Mrs. Flamingo ; Sra. Flamenco ; fenicottero 2 ; mevrouw Flamingo ; г-жа Фламинго ; 
