Name,Category,ID
scenic painting,Arts,0002
graceful painting,Arts,0005
graceful painting,Arts,0006
quaint painting,Arts,0009
quaint painting,Arts,000A
basic painting,Arts,000D
basic painting,Arts,000E
famous painting,Arts,0011
famous painting,Arts,0012
perfect painting,Arts,0014
serene painting,Arts,0017
serene painting,Arts,0018
wistful painting,Arts,001B
wistful painting,Arts,001C
moving painting,Arts,001F
moving painting,Arts,0020
warm painting,Arts,0022
dynamic painting,Arts,0026
jolly painting,Arts,0029
jolly painting,Arts,002A
common painting,Arts,002C
proper painting,Arts,002E
nice painting,Arts,0030
flowery painting,Arts,0032
moody painting,Arts,0034
amazing painting,Arts,0037
amazing painting,Arts,0038
scary painting,Arts,0041
scary painting,Arts,0042
worthy painting,Arts,0044
solemn painting,Arts,0047
solemn painting,Arts,0048
wild painting right half,Arts,004B
wild painting right half,Arts,004C
calm painting,Arts,004E
clackercart,Housewares,0050
rocking horse,Housewares,0053
train set,Housewares,0055
elephant slide,Housewares,0056
ringtoss,Housewares,0058
moss ball,Housewares,006D
lucky cat,Housewares,0083
succulent plant,Housewares,0084
manhole cover,Housewares,0090
cone,Housewares,0092
ankylo skull,Fossils,00A9
ankylo torso,Fossils,00AA
ankylo tail,Fossils,00AB
archelon skull,Fossils,00B1
archelon tail,Fossils,00B2
megacero skull,Fossils,00B4
megacero torso,Fossils,00B5
megacero tail,Fossils,00B6
dimetrodon skull,Fossils,00B8
dimetrodon torso,Fossils,00B9
iguanodon skull,Fossils,00BC
iguanodon torso,Fossils,00BD
iguanodon tail,Fossils,00BE
ophthalmo skull,Fossils,00C0
ophthalmo torso,Fossils,00C1
mammoth skull,Fossils,00C3
mammoth torso,Fossils,00C4
pachy skull,Fossils,00C6
pachy tail,Fossils,00C7
parasaur skull,Fossils,00CA
parasaur torso,Fossils,00CB
parasaur tail,Fossils,00CC
ptera body,Fossils,00CE
right ptera wing,Fossils,00CF
left ptera wing,Fossils,00D0
deinony torso,Fossils,00D2
deinony tail,Fossils,00D3
sabertooth skull,Fossils,00D5
sabertooth tail,Fossils,00D6
diplo skull,Fossils,00D8
diplo neck,Fossils,00D9
diplo chest,Fossils,00DA
diplo pelvis,Fossils,00DB
diplo tail,Fossils,00DC
spino skull,Fossils,00DE
spino torso,Fossils,00DF
spino tail,Fossils,00E0
stego skull,Fossils,00E2
stego torso,Fossils,00E3
stego tail,Fossils,00E4
plesio skull,Fossils,00EA
plesio body,Fossils,00EB
