Name,Category,ID
clackercart,housewares,0050
rocking horse,housewares,0053
train set,housewares,0055
elephant slide,housewares,0056
ringtoss,housewares,0058
moss ball,housewares,006D
lucky cat,housewares,0083
succulent plant,housewares,0084
manhole cover,housewares,0090
cone,housewares,0092
exercise bike,housewares,011F
treadmill,housewares,0122
barbecue,housewares,014A
birdbath,housewares,014B
birdhouse,housewares,014D
Mr. Flamingo,housewares,014F
Mrs. Flamingo,housewares,0150
lawn mower,housewares,0152
tiki torch,housewares,0157
acoustic guitar,housewares,017F
grass standee,housewares,0212
hedge standee,housewares,0213
mountain standee,housewares,0214
tree standee,housewares,0215
stadiometer,housewares,0222
beach chair,housewares,0298
wave breaker,housewares,0299
shaved-ice maker,housewares,029B
ukulele,housewares,029D
tall lantern,housewares,02A4
deer scare,housewares,02A5
boomerang,housewares,02AA
bottled ship,housewares,02AB
Dala horse,housewares,02AD
pagoda,housewares,02B0
paper tiger,housewares,02B1
hula doll,housewares,02B2
Statue of Liberty,housewares,02B5
moai statue,housewares,02BA
Tower of Pisa,housewares,02BC
tapestry,housewares,02C0
bamboo bench,housewares,02C6
screen,housewares,02CC
clay furnace,housewares,02CD
hearth,housewares,02D2
kettle,housewares,02D4
paper lantern,housewares,02D5
garden rock,housewares,02D9
tall garden rock,housewares,02DA
tea table,housewares,02E3
fireplace,housewares,02E6
tape deck,housewares,0313
hi-fi stereo,housewares,0316
jukebox,housewares,0317
high-end stereo,housewares,0319
phonograph,housewares,031A
retro stereo,housewares,031C
mush lamp,housewares,0325
mush table,housewares,0328
modern office chair,housewares,0340
upright locker,housewares,0341
safe,housewares,0347
office desk,housewares,0348
alto saxophone,housewares,034E
amp,housewares,0351
billiard table,housewares,035F
bingo wheel,housewares,0360
birdcage,housewares,0361
book stands,housewares,0366
breaker,housewares,036B
wooden bucket,housewares,0370
camp stove,housewares,0379
holiday candle,housewares,037B
cat tower,housewares,0380
vacuum cleaner,housewares,038B
upright vacuum,housewares,038C
cuckoo clock,housewares,0393
coffee cup,housewares,0396
coffee grinder,housewares,0398
pot rack,housewares,03A0
air conditioner,housewares,03A1
dartboard,housewares,03A9
DJ's turntable,housewares,03AD
effects rack,housewares,03B6
espresso maker,housewares,03BA
exit sign,housewares,03BB
ventilation fan,housewares,03BD
snack machine,housewares,03CB
fruit basket,housewares,03CF
go board,housewares,03D5
harp,housewares,03DB
incense burner,housewares,03E5
kitchen island,housewares,03E6
pile of leaves,housewares,03FF
low screen,housewares,0405
magazine rack,housewares,0408
metronome,housewares,0412
microwave,housewares,0413
silver mic,housewares,0415
mixer,housewares,041A
moon,housewares,041E
music stand,housewares,0422
upright piano,housewares,0439
picnic basket,housewares,043A
pinball machine,housewares,043F
popcorn machine,housewares,0444
rocking chair,housewares,044F
outdoor bath,housewares,0457
colorful wheel,housewares,0458
sandbox,housewares,045C
sand castle,housewares,045D
scarecrow,housewares,0460
sea globe,housewares,0464
revolving spice rack,housewares,0465
server,housewares,0466
old sewing machine,housewares,0467
sewing machine,housewares,0468
outdoor air conditioner,housewares,046B
smoker,housewares,0477
snow globe,housewares,0479
